"filename", "language", "C++", "Python", "comment", "blank", "total"
"/home/zl/gem5/src/gpu-compute/GPU.py", "Python", 0, 183, 38, 34, 255
"/home/zl/gem5/src/gpu-compute/GPUStaticInstFlags.py", "Python", 0, 64, 39, 12, 115
"/home/zl/gem5/src/gpu-compute/LdsState.py", "Python", 0, 14, 30, 4, 48
"/home/zl/gem5/src/gpu-compute/X86GPUTLB.py", "Python", 0, 45, 30, 8, 83
"/home/zl/gem5/src/gpu-compute/comm.cc", "C++", 92, 0, 44, 19, 155
"/home/zl/gem5/src/gpu-compute/comm.hh", "C++", 42, 0, 70, 12, 124
"/home/zl/gem5/src/gpu-compute/compute_unit.cc", "C++", 1941, 0, 297, 415, 2653
"/home/zl/gem5/src/gpu-compute/compute_unit.hh", "C++", 650, 0, 269, 164, 1083
"/home/zl/gem5/src/gpu-compute/dispatcher.cc", "C++", 207, 0, 105, 56, 368
"/home/zl/gem5/src/gpu-compute/dispatcher.hh", "C++", 45, 0, 44, 11, 100
"/home/zl/gem5/src/gpu-compute/exec_stage.cc", "C++", 197, 0, 41, 25, 263
"/home/zl/gem5/src/gpu-compute/exec_stage.hh", "C++", 55, 0, 46, 15, 116
"/home/zl/gem5/src/gpu-compute/fetch_stage.cc", "C++", 58, 0, 32, 13, 103
"/home/zl/gem5/src/gpu-compute/fetch_stage.hh", "C++", 27, 0, 40, 11, 78
"/home/zl/gem5/src/gpu-compute/fetch_unit.cc", "C++", 403, 0, 138, 97, 638
"/home/zl/gem5/src/gpu-compute/fetch_unit.hh", "C++", 112, 0, 123, 34, 269
"/home/zl/gem5/src/gpu-compute/global_memory_pipeline.cc", "C++", 176, 0, 77, 41, 294
"/home/zl/gem5/src/gpu-compute/global_memory_pipeline.hh", "C++", 46, 0, 83, 21, 150
"/home/zl/gem5/src/gpu-compute/gpu_command_processor.cc", "C++", 100, 0, 101, 29, 230
"/home/zl/gem5/src/gpu-compute/gpu_command_processor.hh", "C++", 71, 0, 74, 21, 166
"/home/zl/gem5/src/gpu-compute/gpu_compute_driver.cc", "C++", 321, 0, 59, 39, 419
"/home/zl/gem5/src/gpu-compute/gpu_compute_driver.hh", "C++", 19, 0, 57, 8, 84
"/home/zl/gem5/src/gpu-compute/gpu_dyn_inst.cc", "C++", 767, 0, 106, 121, 994
"/home/zl/gem5/src/gpu-compute/gpu_dyn_inst.hh", "C++", 284, 0, 98, 64, 446
"/home/zl/gem5/src/gpu-compute/gpu_exec_context.cc", "C++", 28, 0, 32, 7, 67
"/home/zl/gem5/src/gpu-compute/gpu_exec_context.hh", "C++", 26, 0, 32, 9, 67
"/home/zl/gem5/src/gpu-compute/gpu_static_inst.cc", "C++", 84, 0, 32, 14, 130
"/home/zl/gem5/src/gpu-compute/gpu_static_inst.hh", "C++", 211, 0, 62, 50, 323
"/home/zl/gem5/src/gpu-compute/gpu_tlb.cc", "C++", 1014, 0, 236, 274, 1524
"/home/zl/gem5/src/gpu-compute/gpu_tlb.hh", "C++", 209, 0, 150, 74, 433
"/home/zl/gem5/src/gpu-compute/hsa_queue_entry.hh", "C++", 311, 0, 113, 57, 481
"/home/zl/gem5/src/gpu-compute/kernel_code.hh", "C++", 116, 0, 65, 12, 193
"/home/zl/gem5/src/gpu-compute/lds_state.cc", "C++", 193, 0, 97, 41, 331
"/home/zl/gem5/src/gpu-compute/lds_state.hh", "C++", 328, 0, 116, 95, 539
"/home/zl/gem5/src/gpu-compute/local_memory_pipeline.cc", "C++", 76, 0, 38, 22, 136
"/home/zl/gem5/src/gpu-compute/local_memory_pipeline.hh", "C++", 42, 0, 43, 16, 101
"/home/zl/gem5/src/gpu-compute/misc.hh", "C++", 110, 0, 39, 26, 175
"/home/zl/gem5/src/gpu-compute/of_scheduling_policy.hh", "C++", 34, 0, 36, 11, 81
"/home/zl/gem5/src/gpu-compute/pool_manager.cc", "C++", 6, 0, 32, 3, 41
"/home/zl/gem5/src/gpu-compute/pool_manager.hh", "C++", 25, 0, 35, 9, 69
"/home/zl/gem5/src/gpu-compute/register_file.cc", "C++", 150, 0, 41, 33, 224
"/home/zl/gem5/src/gpu-compute/register_file.hh", "C++", 73, 0, 72, 27, 172
"/home/zl/gem5/src/gpu-compute/register_manager.cc", "C++", 90, 0, 38, 16, 144
"/home/zl/gem5/src/gpu-compute/register_manager.hh", "C++", 36, 0, 42, 17, 95
"/home/zl/gem5/src/gpu-compute/register_manager_policy.hh", "C++", 23, 0, 51, 13, 87
"/home/zl/gem5/src/gpu-compute/rr_scheduling_policy.hh", "C++", 25, 0, 41, 9, 75
"/home/zl/gem5/src/gpu-compute/scalar_memory_pipeline.cc", "C++", 87, 0, 42, 21, 150
"/home/zl/gem5/src/gpu-compute/scalar_memory_pipeline.hh", "C++", 44, 0, 52, 18, 114
"/home/zl/gem5/src/gpu-compute/scalar_register_file.cc", "C++", 107, 0, 37, 21, 165
"/home/zl/gem5/src/gpu-compute/scalar_register_file.hh", "C++", 52, 0, 39, 14, 105
"/home/zl/gem5/src/gpu-compute/schedule_stage.cc", "C++", 647, 0, 166, 67, 880
"/home/zl/gem5/src/gpu-compute/schedule_stage.hh", "C++", 108, 0, 90, 29, 227
"/home/zl/gem5/src/gpu-compute/scheduler.cc", "C++", 24, 0, 32, 6, 62
"/home/zl/gem5/src/gpu-compute/scheduler.hh", "C++", 16, 0, 36, 8, 60
"/home/zl/gem5/src/gpu-compute/scheduling_policy.hh", "C++", 22, 0, 43, 8, 73
"/home/zl/gem5/src/gpu-compute/scoreboard_check_stage.cc", "C++", 177, 0, 88, 20, 285
"/home/zl/gem5/src/gpu-compute/scoreboard_check_stage.hh", "C++", 43, 0, 47, 14, 104
"/home/zl/gem5/src/gpu-compute/shader.cc", "C++", 418, 0, 88, 93, 599
"/home/zl/gem5/src/gpu-compute/shader.hh", "C++", 174, 0, 78, 55, 307
"/home/zl/gem5/src/gpu-compute/simple_pool_manager.cc", "C++", 63, 0, 34, 14, 111
"/home/zl/gem5/src/gpu-compute/simple_pool_manager.hh", "C++", 26, 0, 38, 8, 72
"/home/zl/gem5/src/gpu-compute/static_register_manager_policy.cc", "C++", 120, 0, 42, 27, 189
"/home/zl/gem5/src/gpu-compute/static_register_manager_policy.hh", "C++", 19, 0, 34, 13, 66
"/home/zl/gem5/src/gpu-compute/tlb_coalescer.cc", "C++", 319, 0, 140, 104, 563
"/home/zl/gem5/src/gpu-compute/tlb_coalescer.hh", "C++", 99, 0, 84, 34, 217
"/home/zl/gem5/src/gpu-compute/vector_register_file.cc", "C++", 146, 0, 49, 21, 216
"/home/zl/gem5/src/gpu-compute/vector_register_file.hh", "C++", 59, 0, 36, 15, 110
"/home/zl/gem5/src/gpu-compute/wavefront.cc", "C++", 1130, 0, 175, 156, 1461
"/home/zl/gem5/src/gpu-compute/wavefront.hh", "C++", 179, 0, 137, 47, 363
"Total", "-", 12902, 306, 5091, 2922, 21221
